First process instance # in stats,1
Last process instance # in stats,5

Resource utilization
Resource,Utilization %
Вязальщик,QBP_DEFAULT_RESOURCE,3
SMM-менеджер,qbp_ef759598-a37e-32db-e21d-93fe9b5f6e08,31
Ответственный за отправку заказов и покупку материалов,qbp_0f32f42d-5ce7-7a99-4477-3a71414dfe65,52

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
GATEWAY 11 XOR,Process_0m6vw7c.Gateway_0kvmt1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GATEWAY 18 XOR,Process_0m6vw7c.Gateway_1hoq7r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
GATEWAY 21 XOR,Process_0m6vw7c.Gateway_0zlfrik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GATEWAY 23 OR,Process_0m6vw7c.Gateway_1mgs9mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
GATEWAY 24 OR,Process_0m6vw7c.Gateway_0z4048j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GATEWAY 25 OR,Process_0m6vw7c.Gateway_1bhl12f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GATEWAY 3 XOR,Process_0m6vw7c.Gateway_0m5wttb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
GATEWAY 5 AND,Process_0m6vw7c.Gateway_06lobad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
GATEWAY 8 XOR,Process_0m6vw7c.Gateway_0hbgwd5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
дождаться оплаты заказа,Process_0m6vw7c.Activity_1fy1ah0,86400.0,86400.0,86400.0,86400.0,0.0,0.0,0.0,0.0,172800.0,172800.0,172800.0,172800.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,86397.0,86397.0,86397.0,86397.0,1
дождаться оплаты заказа,Process_0m6vw7c.Activity_1vmoykv,86400.0,86400.0,86400.0,345600.0,0.0,0.0,0.0,0.0,300600.0,171000.0,343800.0,1202400.0,6000.0,6000.0,6000.0,24000.0,0.0,0.0,0.0,0.0,86397.0,86397.0,86397.0,345588.0,4
